cpc	description	4char	3char
H01P5/08	. for linking dissimilar lines or devices (H01P1/16, H01P5/04 take precedence; linking lines of the same kind but with different dimensions H01P5/02)	H01P	H01
H01P3/16	. Dielectric waveguides, i.e. without a longitudinal conductor	H01P	H01
H01R41/00	Non-rotary current collectors for maintaining contact between moving and stationary parts of an electric circuit (end pieces terminating in a hook or the like H01R11/12; current collectors for power supply lines of electrically-propelled vehicles B60L 5/00)	H01R	H01
H04L12/28	. characterised by path configuration, e.g. LAN [Local Area Networks] or WAN [Wide Area Networks] (wireless communication networks H04W{; arrangements for dividing the transmission path H04W40/00})	H04L	H04
H04W40/04	. . based on wireless node resources	H04W	H04
H01R11/12	. . End pieces terminating in an eye, hook, or fork	H01R	H01
H01R11/32	. . End pieces with two or more terminations	H01R	H01
H03M3/02	. Delta modulation, i.e. one-bit differential modulation {(H03M3/30 takes precedence)}	H03M	H03
H01R4/04	. using electrically conductive adhesives	H01R	H01
H03K19/0175	. Coupling arrangements; Interface arrangements (interface arrangements for digital computers G06F 3/00, G06F 13/00)	H03K	H03
H02M5/32	. . by dynamic converters	H02M	H02
H01M8/12	. . operating at high temperature, e.g. with stabilised ZrO2 electrolyte	H01M	H01
H01J9/395	. . Filling vessels	H01J	H01
H05B33/04	. . Sealing arrangements {, e.g. against humidity}	H05B	H05
H04W76/28	. . Discontinuous transmission [DTX]; Discontinuous reception [DRX]	H04W	H04
H04W28/06	. . Optimizing {the usage of the radio link}, e.g. header compression, information sizing {, discarding information (system modifying transmission characteristic according to link quality by modifying frame length H04L1/0007; dynamic adaptation of the packet size for flow control or congestion control H04L47/365)}	H04W	H04
H02J3/18	. Arrangements for adjusting, eliminating or compensating reactive power in networks (for adjustment of voltage H02J3/16)	H02J	H02
H04N13/302	. . for viewing without the aid of special glasses, i.e. using autostereoscopic displays	H04N	H04
H04W36/20	. . for optimising the interference level	H04W	H04
H01B11/04	. . with pairs or quads mutually positioned to reduce cross-talk	H01B	H01
H01G11/26	. . characterised by the structures of the electrodes, e.g. multi-layered, shapes, dimensions, porosities or surface features	H01G	H01
H01F7/00	Magnets	H01F	H01
H01C7/06	. including means to minimise changes in resistance with changes in temperature	H01C	H01
H01C3/20	. . wound on cylindrical or prismatic base (H01C3/16 takes precedence)	H01C	H01
H02J7/04	. . Regulation of charging current or voltage	H02J	H02
H01H50/54	. Contact arrangements	H01H	H01
H04W16/12	. . Fixed resource partitioning	H04W	H04
H02G1/12	. for removing insulation or armouring from cables, e.g. from the end thereof (pliers in general B25B; cutters in general B26B)	H02G	H02
H02K9/10	. by gaseous cooling medium flowing in closed circuit, a part of which is external to the machine casing	H02K	H02
H02K2203/15	. Machines characterised by cable windings, e.g. high-voltage cables, ribbon cables	H02K	H02
H01M4/02	. Electrodes composed of, or comprising, active material	H01M	H01
H03F2200/171	. A filter circuit coupled to the output of an amplifier	H03F	H03
H04N13/261	. . with monoscopic-to-stereoscopic image conversion	H04N	H04
H01G4/32	. Wound capacitors	H01G	H01
H01G2/16	. . with fusing elements	H01G	H01
H03F2200/03	. the amplifier being designed for audio applications	H03F	H03
H01Q11/14	. . with parts bent, folded, shaped or screened or with phasing impedances, to obtain desired phase relation of radiation from selected sections of the antenna or to obtain desired polarisation effect (H01Q11/20 takes precedence)	H01Q	H01
H01F27/38	. . Auxiliary core members; Auxiliary coils or windings	H01F	H01
H02K7/18	. Structural association of electric generators with mechanical driving motors, e.g. with turbines	H02K	H02
H04M99/00	Subject matter not provided for in other groups of this subclass	H04M	H04
H03M13/31	. combining coding for error detection or correction and efficient use of the spectrum (without error detection or correction H03M5/14 {, H03M5/145})	H03M	H03
H01L27/142	. . Energy conversion devices (photovoltaic modules or arrays of single photovoltaic cells comprising bypass diodes integrated or directly associated with the devices H01L31/0443; photovoltaic modules composed of a plurality of thin film solar cells deposited on the same substrate H01L31/046)	H01L	H01
H01J37/285	. . Emission microscopes, e.g. field-emission microscopes	H01J	H01
H04H60/65	. . for using the result on users side	H04H	H04
H04H60/66	. . for using the result on distributors side	H04H	H04
H02J50/27	. . characterised by the type of receiving antennas, e.g. rectennas	H02J	H02
H01R13/514	. . composed as a modular blocks or assembly, i.e. composed of co-operating parts provided with contact members or holding contact members between them	H01R	H01
H03K3/012	. . Modifications of generator to improve response time or to decrease power consumption	H03K	H03
H01Q15/00	Devices for reflection, refraction, diffraction or polarisation of waves radiated from an antenna, e.g. quasi-optical devices (variable for purpose of altering directivity H01Q3/00; arrangements of such devices for guiding waves H01P3/20; variable for purpose of modulation H03C7/02)	H01Q	H01
H03D2200/0023	. . Balun circuits	H03D	H03
H03D2200/0025	. . Gain control circuits	H03D	H03
H03C2200/0058	. . Quadrature arrangements	H03C	H03
H04R1/00	Details of transducers, {loudspeakers or microphones}	H04R	H04
H02J3/36	. Arrangements for transfer of electric power between ac networks via a high-tension dc link	H02J	H02
H04N19/44	. Decoders specially adapted therefor, e.g. video decoders which are asymmetric with respect to the encoder	H04N	H04
H05B2203/003	. . using serpentine layout	H05B	H05
H01L41/113	. . with mechanical input and electrical output {, e.g. generators, sensors}	H01L	H01
H01L31/053	. . Energy storage means directly associated or integrated with the PV cell, e.g. a capacitor integrated with a PV cell (energy storage means associated with the PV module H02S40/38)	H01L	H01
H01L31/054	. . Optical elements directly associated or integrated with the PV cell, e.g. light-reflecting means or light-concentrating means	H01L	H01
H04N13/30	. Image reproducers (optical systems for producing stereoscopic or other three-dimensional effects G02B 30/00)	H04N	H04
H01H50/36	. . Stationary parts of magnetic circuit, e.g. yoke	H01H	H01
H01S2301/20	. Lasers with a special output beam profile or cross-section, e.g. non-Gaussian	H01S	H01
H04W12/12	. Detection or prevention of fraud	H04W	H04
H04L7/08	. . the synchronisation signals recurring cyclically	H04L	H04
H01J9/02	. Manufacture of electrodes or electrode systems	H01J	H01
H01G11/10	. Multiple hybrid or EDL capacitors, e.g. arrays or modules (housings, cases or mountings thereof H01G11/78)	H01G	H01
H01G11/84	. Processes for the manufacture of hybrid or EDL capacitors, or components thereof	H01G	H01
H04R7/18	. . at the periphery	H04R	H04
H02J1/08	. Three-wire systems; Systems having more than three wires	H02J	H02
H01J35/02	. Details	H01J	H01
H03F3/181	. Low frequency amplifiers, e.g. audio preamplifiers	H03F	H03
H03F2200/186	. the ground, reference potential being controlled	H03F	H03
H05K5/04	. Metal casings	H05K	H05
H02K21/12	. with stationary armatures and rotating magnets	H02K	H02
H01R12/71	. . for rigid printing circuits or like structures	H01R	H01
H04H20/28	. Arrangements for simultaneous broadcast of plural pieces of information	H04H	H04
H02G2200/20	. Identification of installed cables	H02G	H02
H01L2223/54426	. . for alignment	H01L	H01
H01P1/18	. Phase-shifters (H01P1/165 takes precedence)	H01P	H01
H01Q3/30	. . varying the {relative} phase {between the radiating elements of an array (H01Q3/2605, H01Q3/2658, H01Q3/2682, H01Q3/44 take precedence)}	H01Q	H01
H01H37/02	. Details	H01H	H01
H01H2229/012	. Vacuum deposition	H01H	H01
H03B27/00	Generation of oscillations providing a plurality of outputs of the same frequency but differing in phase, other than merely two anti-phase outputs	H03B	H03
H01R43/26	. for engaging or disengaging the two parts of a coupling device (structural association with two-part coupling device H01R13/629)	H01R	H01
H01L41/12	. Magnetostrictive devices	H01L	H01
H04L2209/463	. . Electronic voting	H04L	H04
H04W4/00	Services specially adapted for wireless communication networks; Facilities therefor	H04W	H04
H04M3/58	. . Arrangements for transferring received calls from one subscriber to another; Arrangements affording interim conversations between either the calling or the called party and a third party (substation line holding circuits H04M1/80)	H04M	H04
H04K2203/34	. . involving multiple cooperating jammers	H04K	H04
H05H7/04	. Magnet systems {, e.g. undulators, wigglers (free-electron laser H01S3/0903)}; Energisation thereof	H05H	H05
H05H9/00	Linear accelerators	H05H	H05
H01Q15/02	. Refracting or diffracting devices, e.g. lens, prism	H01Q	H01
H04R9/02	. Details	H04R	H04
H05B2203/005	. . using multiple resistive elements or resistive zones isolated from each other	H05B	H05
H01H15/02	. Details	H01H	H01
H01H9/04	. . Dustproof, splashproof, drip-proof, waterproof, or flameproof casings	H01H	H01
H01R4/2416	. . the contact members having insulation-cutting edges, e.g. of tuning fork type	H01R	H01
H01T13/02	. Details	H01T	H01
H01H25/04	. Operating part movable angularly in more than one plane, e.g. joystick	H01H	H01
H01L2924/01049	. . Indium [In]	H01L	H01
H02B3/00	Apparatus specially adapted for the manufacture, assembly, or maintenance of boards or switchgear	H02B	H02
H01Q21/26	. . Turnstile or like antennas comprising arrangements of three or more elongated elements disposed radially and symmetrically in a horizontal plane about a common centre	H01Q	H01
H01F10/30	. . characterised by the composition of the intermediate layers {, e.g. seed, buffer, template, diffusion preventing, cap layers (H01F10/06 and H01F10/32 take precedence)}	H01F	H01
H01L2924/01034	. . Selenium [Se]	H01L	H01
H01L35/28	. operating with Peltier or Seebeck effect only	H01L	H01
H01H9/02	. Bases, casings, or covers (accommodating more than one switch or a switch and another electrical component H02B1/26)	H01H	H01
H03B19/14	. . by means of a semiconductor device	H03B	H03
H03H17/04	. . Recursive filters	H03H	H03
H03F1/32	. Modifications of amplifiers to reduce non-linear distortion (by negative feedback H03F1/34)	H03F	H03
H05K13/02	. Feeding of components	H05K	H05
H01L2924/01024	. . Chromium [Cr]	H01L	H01
H01L23/36	. . Selection of materials, or shaping, to facilitate cooling or heating, e.g. heatsinks {(H01L23/28, H01L23/40, H01L23/42, H01L23/44, H01L23/46 take precedence; heating H01L23/345)}	H01L	H01
H01H23/04	. . Cases; Covers	H01H	H01
H04R25/00	Deaf-aid sets {, i.e. electro-acoustic or electro-mechanical hearing aids; Electric tinnitus maskers providing an auditory perception (electrical stimulation of auditory nerves to promote the auditory function A61N 1/36038; optical stimulation of auditory nerves to promote the auditory function A61N 5/0622)}	H04R	H04
H04W40/36	. . due to handover	H04W	H04
H04J13/10	. Code generation	H04J	H04
H04L2209/88	. Medical equipments	H04L	H04
H01B15/00	Apparatus or processes for salvaging material from cables (for removing insulation from conductors H02G1/12)	H01B	H01
H04W52/18	. . TPC being performed according to specific parameters	H04W	H04
H02J1/14	. Balancing the load in a network	H02J	H02
H04N21/83	. . Generation or processing of protective or descriptive data associated with content; Content structuring	H04N	H04
H01B3/18	. mainly consisting of organic substances {(organic macromolecular compounds or compositions C08)}	H01B	H01
H04N9/87	. . Regeneration of colour television signals (H04N9/80 takes precedence)	H04N	H04
H04L15/28	. . Code reproducing apparatus	H04L	H04
H05K7/14	. Mounting supporting structure in casing or on frame or rack	H05K	H05
H04M1/19	. . Arrangements of transmitters, receivers, or complete sets to prevent eavesdropping, to attenuate local noise or to prevent undesired transmission; Mouthpieces or receivers specially adapted therefor (circuit arrangements for preventing eavesdropping H04M1/68; telephone cabinets E04H 1/14)	H04M	H04
H04W92/20	. . between access points	H04W	H04
H04M19/04	. . the ringing-current being generated at the substations	H04M	H04
H01H73/02	. Details	H01H	H01
H01H9/22	. . for interlocking between casing, cover, or protective shutter and mechanism for operating contacts {(explosion-proof cases H01H9/045; built-in fuses and interlocking mechanisms H01H9/104; by automatic release of circuit breakers H01H71/126)}	H01H	H01
H04J3/08	. . Intermediate station arrangements, e.g. for branching, for tapping-off	H04J	H04
